artifact_id,question,type,title,purpose,script,data_file,artifact_file,report_location,status,notes
Q1-T01,q1,table,输入输出相关性矩阵,展示输入与输出指标的相关强度,questions/q1/scripts/pipeline.py,questions/q1/artifacts/tables/q1_correlation_matrix.csv,questions/q1/artifacts/tables/q1_correlation_matrix.csv,论文第1问,supported,
Q1-T02,q1,table,飞行距离因素分层总结,回答边际相关/条件线性贡献/非线性贡献和稳定性分类,questions/q1/scripts/pipeline.py,questions/q1/artifacts/tables/q1_feature_summary.csv,questions/q1/artifacts/tables/q1_feature_summary.csv,论文第1问,supported,
Q1-F01,q1,figure,Pearson 相关性热力图,展示输入输出线性关联结果,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/q1_pearson_heatmap.csv,questions/q1/artifacts/figures/q1_pearson_heatmap.png,论文第1问,supported,同名 meta.json 已生成
Q1-F02,q1,figure,Spearman 相关性热力图,展示输入输出单调关联结构,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/q1_spearman_heatmap.csv,questions/q1/artifacts/figures/q1_spearman_heatmap.png,论文第1问,supported,同名 meta.json 已生成
Q1-F03,q1,figure,前四变量与飞行距离关系图,展示关键变量散点和分箱趋势,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/q1_top_feature_relationships.csv,questions/q1/artifacts/figures/q1_top_feature_relationships.png,论文第1问,supported,同名 meta.json 已生成
Q2-T01,q2,table,固定训练测试划分,记录 514/221 主划分和随机种子,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_data_split.csv,questions/q2/artifacts/tables/q2_data_split.csv,论文第2问,supported,
Q2-T02,q2,table,监督预测模型性能,报告 carry/apex 的 RMSE/MAPE/MAE/R2/MdAPE,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_supervised_metrics.csv,questions/q2/artifacts/tables/q2_supervised_metrics.csv,论文第2问,supported,
Q2-T03,q2,table,监督预测 Bootstrap 区间,报告测试集 RMSE/MAPE/MAE 置信区间,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_supervised_bootstrap_ci.csv,questions/q2/artifacts/tables/q2_supervised_bootstrap_ci.csv,论文第2问附表,supported,
Q2-T04,q2,table,监督重复划分稳定性,报告 30 次 70/30 重复划分误差均值标准差和胜出频率,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_supervised_repeated_split.csv,questions/q2/artifacts/tables/q2_supervised_repeated_split.csv,论文第2问附表,supported,
Q2-T05,q2,table,ODE 参数表,记录固定物理常数与训练集标定的 C_D/C_L/k_L,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_parameters.csv,questions/q2/artifacts/tables/q2_ode_parameters.csv,论文第2问,supported,drag C_D 为边界基线；含升力为有效参数
Q2-T06,q2,table,ODE 测试指标,比较 vacuum/drag/constant_lift/spin_factor_lift 的测试误差与失败率,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_test_metrics.csv,questions/q2/artifacts/tables/q2_ode_test_metrics.csv,论文第2问,supported,
Q2-T07,q2,table,ODE 验证检查,记录单位换算、真空解析解、升力方向和完整层级检查,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_validation_checks.csv,questions/q2/artifacts/tables/q2_ode_validation_checks.csv,论文第2问,supported,
Q2-T08,q2,table,ODE 参数曲面,记录 train-only 参数网格 objective,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_parameter_surface.csv,questions/q2/artifacts/tables/q2_ode_parameter_surface.csv,论文第2问附表,supported,
Q2-T09,q2,table,典型记录选择表,记录 100/150/200 yd 测试集典型样本,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_typical_records.csv,questions/q2/artifacts/tables/q2_typical_records.csv,论文第2问,supported,
Q2-T10,q2,table,典型记录 ODE 误差表,比较典型样本各 ODE 模型误差,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_typical_errors.csv,questions/q2/artifacts/tables/q2_ode_typical_errors.csv,论文第2问,supported,
Q2-T11,q2,table,典型轨迹点表,保存典型轨迹的 x/y/z/time 坐标,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_typical_trajectories.csv,questions/q2/artifacts/tables/q2_typical_trajectories.csv,论文第2问,supported,
Q2-T12,q2,table,ODE 灵敏度表,记录参数/积分/假设扰动对轨迹输出的影响,questions/q2/scripts/pipeline.py,questions/q2/artifacts/tables/q2_ode_sensitivity.csv,questions/q2/artifacts/tables/q2_ode_sensitivity.csv,论文第2问附表,supported,
Q2-F01,q2,figure,飞行距离预测散点图,展示选中监督模型真实值与预测值,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_prediction_scatter_carry.csv,questions/q2/artifacts/figures/q2_prediction_scatter_carry.png,论文第2问,supported,同名 meta.json 已生成
Q2-F02,q2,figure,最高点预测散点图,展示选中监督模型真实值与预测值,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_prediction_scatter_apex.csv,questions/q2/artifacts/figures/q2_prediction_scatter_apex.png,论文第2问,supported,同名 meta.json 已生成
Q2-F03,q2,figure,飞行距离残差图,展示选中监督模型残差结构,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_residuals_carry.csv,questions/q2/artifacts/figures/q2_residuals_carry.png,论文第2问,supported,同名 meta.json 已生成
Q2-F04,q2,figure,最高点残差图,展示选中监督模型残差结构,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_residuals_apex.csv,questions/q2/artifacts/figures/q2_residuals_apex.png,论文第2问,supported,同名 meta.json 已生成
Q2-F05,q2,figure,ODE 模型比较图,比较四层 ODE 的测试 RMSE,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_ode_model_comparison.csv,questions/q2/artifacts/figures/q2_ode_model_comparison.png,论文第2问,supported,同名 meta.json 已生成
Q2-F06,q2,figure,ODE 参数曲面图,展示 train-only 参数网格 objective,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_ode_parameter_surface.csv,questions/q2/artifacts/figures/q2_ode_parameter_surface.png,论文第2问,supported,同名 meta.json 已生成
Q2-F07,q2,figure,典型轨迹三维图,展示 100/150/200 yd 三条典型轨迹,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_typical_trajectories_3d.csv,questions/q2/artifacts/figures/q2_typical_trajectories_3d.png,论文第2问,supported,同名 meta.json 已生成
Q2-F08,q2,figure,典型轨迹侧视图,展示 x-z 最高点变化,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_typical_trajectories_side.csv,questions/q2/artifacts/figures/q2_typical_trajectories_side.png,论文第2问,supported,同名 meta.json 已生成
Q2-F09,q2,figure,典型轨迹俯视图,展示 x-y 横向偏移变化,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_typical_trajectories_top.csv,questions/q2/artifacts/figures/q2_typical_trajectories_top.png,论文第2问,supported,同名 meta.json 已生成
Q2-F10,q2,figure,ODE 灵敏度图,展示参数/积分/假设扰动对 carry 的影响,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/q2_ode_sensitivity.csv,questions/q2/artifacts/figures/q2_ode_sensitivity.png,论文第2问,supported,同名 meta.json 已生成
Q3-T01,q3,table,最优击球参数表,给出名义最优与稳健推荐的球速/发射角/自旋/目标函数/稳健性指标,questions/q3/scripts/pipeline.py,questions/q3/artifacts/tables/q3_optimal_parameters.csv,questions/q3/artifacts/tables/q3_optimal_parameters.csv,论文第3问,supported,
